,id,annotation_1,annotation_2,document,label
35,35,"제품 전체,일반","None,0,0",보드랍고 신축성 있고 허리까지 충분히 내려오는 길이에 얇아서 티 안에 입어도 더울 거 같지 않다,2
36,36,"제품 전체,디자인","배색,0,2",배색도 핑크랑 그레이라 무난하면서도 칙칙하지 않다,2
37,37,"제품 전체,일반","None,0,0",한 철 잘 입다가 늘어나면 집에서 반바지랑 입고 땀 뻘뻘 흘리면서 컴퓨터 두드려야겠음,1
38,38,"제품 전체,일반","None,0,0",왠지 좋아보인다,2
39,39,"본품,품질","민트, 솔잎,0,6",민트 솔잎 이런 게 들어서 그런가 굉장히 화하다 ,1
40,40,"패키지/구성품,일반","비닐 봉지,32,37",아무래도 발이다 보니 이러고 돌아다닐 수도 없고 친절하게 비닐 봉지가 들어있다,2
41,41,"패키지/구성품,일반","테잎,19,21",게다가 입구가 펄럭거리면 불편하니 테잎도 동봉되어 있어서 이렇게 발목을 조일 수 있다,2
42,42,"제품 전체,일반","None,0,0",나름 궁리를 많이 한 상품 같네,2
43,43,"제품 전체,디자인","컵,8,9",사실 난 투명 컵이 더 좋은데 다들 색깔이 연하게 들어가있다,1
44,44,"제품 전체,일반","코카콜라 컵,3,9",역시 코카콜라 컵이라 콜라가 더 잘 어울린다,2
45,45,"패키지/구성품,편의성","사이즈,0,3",사이즈가 평소 마시는 것보다 약간 커서 넉넉하게 담을 수 있는 건 좋은데 설거지하기에는 밑이 좀 깊어서 불편,1
46,46,"제품 전체,일반","None,0,0",게다가 떨어뜨리면 바로 와장창 이라고 해서 조심하고 있다,1
47,47,"제품 전체,일반","컵,7,8",원짜리 컵인데 더 이상을 바랄 순 없을 듯,1
48,48,"제품 전체,일반","None,0,0",ㅜ ㅜ 너무 기뻐서 눈물이,2
49,49,"제품 전체,일반","None,0,0",너무 좋다,2
50,50,"제품 전체,일반","None,0,0",매일 매일 책상을 청소하게 만들었던 최악의 지우개 톰보우 미술용과는 배쯤 차이났다,2
51,51,"제품 전체,품질","None,0,0",쉽게 잘 지워지는 건 물론이고 지우개 똥이 거의 없다,2
52,52,"제품 전체,일반","None,0,0",정말 기뻤다,2
53,53,"브랜드,가격","None,0,0",그렇다고 가격이 그렇게 비싸냐하면 절대 그렇지 않다,2
54,54,"제품 전체,일반","사쿠라폼,19,23",톰보우도 몇 백원은 준 거 같은데 사쿠라폼은 우수한 성능에도 불구 단돈 원,2
55,55,"본품,편의성","None,0,0",저것만 제거하면 되서 정말 편하다,2
56,56,"제품 전체,디자인","신발,26,28",너무 이뻐서얼굴은 보지도 않았음 이게 병신발만 보면서 한참을 따라간 듯,2
57,57,"제품 전체,일반","신발과 합체된 종아리 이하 모습,6,23",정확하게는 신발과 합체된 종아리 이하 모습에 반했다고 해야 맞을 듯,2
58,58,"제품 전체,디자인","운동화,45,48",그래서 매장에 가봤더니 아니나 다를까 색감하며 디자인하며 이건 무슨 구석기 시대 운동화냐 싶은게 신어보니 발은 항공모함만해 보여서 냅다 버리고 뒤도 안 돌아보고 왔단 얘기,0
59,59,"제품 전체,일반","None,0,0",ㅋㅋ 근데 신은 애들을 보면 또 그렇게 보이지도 않으니 귀신이 곡할 노릇,2
60,60,"본품,디자인","뒷축,14,16",특히 마음에 안 드는 건 뒷축으로 클래식 시리즈는 덜 하지만 뉴발의 대개 모델들은 뒷축이 이상하게 툭 튀어나와서 좀 닳을 때까지는 눈에 너무 거슬릴 거 같다,0
61,61,"제품 전체,디자인","빨강,5,7",근데 난 빨강을 안 좋아한다,0
62,62,"제품 전체,일반","None,0,0",나에게 주는 진심어린 선물,2
63,63,"본품,품질","None,0,0",착화감이 너무 좋다,2
64,64,"제품 전체,디자인","봉제선,0,3",봉제선이 앞코 쪽에 딱 한군데 있고 맥스나 테니스 클래식 등보다 훨씬 편하다,2
65,65,"본품,일반","무게,0,2",무게도 경량에 에어가 젤타입이 아니어서 터질 우려도 없단다,2
66,66,"제품 전체,품질","None,0,0",에어가 터지면 걸을 때 민망한 소리가 난다는 말을 들은 적도 있고 나이키 에어는 별로 내구성이 좋지 않다는 소리도 많이 들어서 그 점도 플러스가 됐다,2
67,67,"제품 전체,가격","None,0,0",가격은 운동화치고는 꽤 세다,0
68,68,"제품 전체,일반","None,0,0",십만원이 넘었으니 구두보다도 비싼데 너무 만족스러워서 웃음이 나왔다,1
69,69,"제품 전체,일반","None,0,0",매장에서 꽤 괜찮은 놈을 세일해서 원에 파는 걸보고 홀딱 반했는데 한 번에 두 켤레를 살 수는 없었고 신어보니 무게감이 루나를 따라갈 수 없어서 일단 포기했다,1
70,70,"제품 전체,일반","None,0,0",잘 샀어,2
71,71,"제품 전체,일반","노트북,45,48",전자제품이라면 그것이 어떤 기능을 가졌든지 일단 좋아하지만 그 중 극강은 역시 노트북,2
72,72,"제품 전체,디자인","골드,26,28",처음에 마음에 든 건 아래 녹색이었는데 이후 골드가 출시된 것을 알고 마음이 바뀌었다,2
73,73,"브랜드,일반","소니,7,9",내가 이래서 소니를 좋아해,2
74,74,"제품 전체,디자인","색상,23,25",나는 사실 핑크 별로 안 좋아하는데 다른 색상이 다 이쁘지 않게 나왔다,0
75,75,"제품 전체,디자인","None,0,0",이런 말해서 미안하지만 디자인 촌발 날리는 건 삼성 따라갈 게 없는 거 같다,0
76,76,"브랜드,품질","None,0,0",왜 일류 기업이라는 게 아이리버나 다른 중소업체보다 못하지,0
77,77,"브랜드,품질","None,0,0",소니나 필립스보다도 떨어진다,0
78,78,"제품 전체,디자인","None,0,0",디자인에 돈 좀 들이던가 안목을 높여줘,0
79,79,"제품 전체,디자인","None,0,0",지금 이게 어른이 들고 다니라고 만든 거 맞아,0
80,80,"제품 전체,디자인","색 조합,5,9", 색 조합이 저게 뭐냐,0
81,81,"제품 전체,디자인","None,0,0",흰색에 빨강 띠 검정에 흰색 띠,0
82,82,"제품 전체,디자인","None,0,0",아이구야 검정에 굳이 띠를 둘러야겠다면 회색이 더 낫지 않나,0
83,83,"제품 전체,디자인","빨강,30,32",흰색이면 그냥 흰색으로 밀고 나가면 되지 무슨 촌스런 빨강이야,0
84,84,"제품 전체,디자인","None,0,0",채도나 이런 것도 실제는 어떨지 몰라도 사진으로는 실망스럽다,0
85,85,"브랜드,일반","None,0,0",아무튼 디자인 쪽으로 인재를 많이 채용해서 눈 좀 높여줬으면 좋겠어,0
86,86,"제품 전체,디자인","색,0,1",색을 저렇게 밖에 못 뽑는지 묻고 싶다,0
87,87,"제품 전체,일반","None,0,0",그래도 국산 살 테니 무궁한 발전하길 바란다,2
88,88,"브랜드,품질","삼성이나 엘지,28,35",모냥이 빠져도 난 실용주의자라 군말없이 해주는 삼성이나 엘지가 좋긴 좋다,2
89,89,"제품 전체,일반","에코백,7,10",막상 도착한 에코백은 작은 거 좋아하는 나에게도 몇 센티 쯤인가 너무 작게 느껴졌으나 디자인이 중요한 가방이라 그럭저럭 만족한다,1
90,90,"본품,품질","천,9,10",조금 더 토톰한 천에 센티만 폭이 컸어도 딱인데 아깝구나,1
91,91,"본품,일반","밴드,0,2",밴드도 올리브그린과 블랙이 있었는데 알도 까만데 줄까지 까만 건 싫고 국방색은 너무 군인스럽나 싶지만 사실 아무래도 상관없다,1
92,92,"본품,일반","줄,11,12",으하하 오자마자 줄질을 하게 될 지 어떨지 몰라도 너에게는 어울리는 줄이 따로 있지 싶어,2
93,93,"본품,일반","카키색 줄,8,13",아무리 나라도 카키색 줄을 계속 찰 수는 없잖아,0
94,94,"본품,일반","줄,13,14",근데 이거 좀 에러인게 줄을 바꾸려면 잘라버려야 한다,0
95,95,"본품,일반","None,0,0",아무리 저렴이 버전이라지만 뭐 이따위 구색이 다 있어  ,0
96,96,"본품,품질","초침소리,11,15",마지막으로 겁나 큰 초침소리라는데 내가 주무실 때 이 싸구려를 어디다 숨겨놔야 초침 소리를 안 들을지 연구해봐야겠다,0
97,97,"제품 전체,일반","아디다스의 상징인 삼선,0,12",아디다스의 상징인 삼선이 없어서 좋다,2
98,98,"제품 전체,디자인","None,0,0",하지만 밑창의 옆면에도 음각으로 아디다스 로고가 들어가 있고 브랜드가 언뜻 봐선 뭔지 모르게 처리한 게 마음에 든다,2
99,99,"제품 전체,일반","색감,9,11",방안에서 찍어서 색감의 왜곡이 있지만 밖에서 보면 참 곱다 ㅋㅋ,2
100,100,"제품 전체,디자인","색깔,14,16",그래도 얇아서 덥지 않고 색깔이 청량감이 있어서 스웨이드임에도 여름 운동화 같다,2
101,101,"본품,품질","8G 모델,4,9",어쨌든  모델이다보니 동영상 등의 무리한 다운로드는 안할 듯 싶고 월별 기본제공되는 와 에그 와이브로를 병행해서 쓰면 그럭저럭 쓸만할 듯 싶다,1
102,102,"제품 전체,디자인","None,0,0",제법 깔끔한 디자인이다,2
103,103,"제품 전체,디자인","None,0,0",깔끔한 디자인이다,2
104,104,"제품 전체,디자인","LEXMA 블루투스 마우스,0,14", 블루투스 마우스 쪽이 크기도 작고 디자인도 좋다,2
105,105,"제품 전체,디자인","LEXMA,0,5",의 디자인이 월등히 낫다,2
106,106,"패키지/구성품,일반","리시버,25,28",이런 점을 감안하면 블루투스 제품마다 모조리 리시버가 들어있어야 하는 것도 말이 안되고 최근 기기는 블루투스 지원은 기본이니 불만사항이 될 순 없겠다,1
107,107,"본품,편의성","온오프 스위치와 커넥트 버튼,22,37",전체적으로 마우스의 크기가 작기 때문에 온오프 스위치와 커넥트 버튼이 작다,0
108,108,"본품,편의성","None,0,0",이점이 손이 큰 사람에게는 불편할 수도 있다,0
109,109,"제품 전체,편의성","None,0,0",다만 넷북 이용시에는 역시 마우스는 작아야 편하니 이런 점을 감안한다면 불가피한 크기,2
110,110,"제품 전체,편의성","LEXMA 블루투스 마우스,0,14", 블루투스 마우스는 크기가 작아 어딘가 갈 때 와 함께 들고 다니기에도 편리할 듯 싶다,2
111,111,"제품 전체,편의성","블루투스 마우스,33,41",마우스 없이  조이패드로 인터넷을 하는 것은 힘들지만 블루투스 마우스만 있으면 간편하게 에서 인터넷을 즐길 수 있다,2
112,112,"본품,품질","None,0,0", 및 에서 사용한 결과 이동이나 마우스 좌클릭 우클릭 및 휠 이동 등은 편하게 사용할 수 있었다,2
113,113,"본품,품질","휠 클릭,3,7",단 휠 클릭은 뻑뻑해서 꽤 힘이 든다,0
114,114,"제품 전체,일반","None,0,0",사실 그냥 내가 쓰기에 편하다 정도로 느끼고 다른 마우스에 비해 확 대단한 점은 느끼기는 힘들다,1
115,115,"제품 전체,일반","마우스,0,3",마우스가 원래 거기서 거기이다보니 미세한 차이는 사람이 느끼기에 힘든 듯 싶다,1
116,116,"제품 전체,디자인","None,0,0",장점  디자인이 깔끔하다 작아서 휴대성이 용이 높낮이 조절 가능 다양한 블루투스 지원 기기에서 사용 가능,2
117,117,"본품,품질","조작감,0,3",조작감이 좋아 편하게 이용할 수 있다,2
118,118,"본품,편의성","None,0,0",단점  컴펙트하여 손 큰 사람에게는 불편 마우스 하단의 버튼들이 작아 손 큰 사람들에게는 불편할 듯,0
119,119,"본품,품질","휠 클릭,0,4",휠 클릭이 뻑뻑해서 힘이 든다,0
120,120,"본품,품질","조작감,5,8",디자인과 조작감에서 차이가 날 뿐인데  블루투스 마우스는 디자인과 조작감 둘 다 합격점,2
121,121,"본품,편의성","None,0,0",다만 내가 손이 작은 편이라 손이 큰 사람은 불편할 수도 있으니 그 점을 감안하는 것이 좋다,0
122,122,"제품 전체,편의성","작은 마우스,27,33",넷북 같은 휴대기기에 큰 마우스보단 이런 적당히 작은 마우스를 갖고 다니는 것이 편리하겠지만 말이다,2
123,123,"제품 전체,품질","릴리안,3,6",나는 릴리안이 제일로 좋았고 다른제품에비해 훨씬 뒤가깔끔하거기분 좋아서 이사태에서 나는 릴리안을 반품안하고 오히려 쌀때 ㅋㅋ 더 사서썼다,2
124,124,"제품 전체,일반","None,0,0",진짜 잘한걱같다 ㅋㅋㅋ,2
125,125,"제품 전체,디자인","세일러느낌,5,10",귀염귀염 세일러느낌이에요,2
126,126,"제품 전체,디자인","제이스타일 옷들,6,14",전반적으로 제이스타일 옷들은 핏이참 이쁜듯해요,2
127,127,"본품,품질","재질,0,2",재질도 똑떨어지면서 색상도 너무예뻐요,2
128,128,"제품 전체,디자인","제이스타일 옷들,0,8",제이스타일 옷들은 전반적으로 핏이참 예쁘게 떨어지는듯해요 ,2
129,129,"제품 전체,품질","None,0,0",부드럽고 촉감좋규 ,2
130,130,"제품 전체,디자인","None,0,0",넘나귀요워 ,2
131,131,"제품 전체,편의성","베이비쿡솔로,45,51",이유식 들어가면서 만들어줘야겠다 생각했는데 역시나 넘나 간편한 베이비쿡솔로 ,2
132,132,"제품 전체,일반","None,0,0",사용할수록 맘에듬,2
133,133,"제품 전체,편의성","None,0,0",요즘은 육아장비빨 시대인만큼 ㅎㅎ 쉽고 영양가는 지켜주면 되니깐 굳뜌,2
134,134,"제품 전체,일반","하이맘밴드,18,23",아이들이 있는 집 필수품 하이맘밴드 ,2
135,135,"제품 전체,디자인","색상,0,2",색상이 보니 어느정도 투명해서 티도 많이 안나고  전용가위까지 센스 쩔,2
136,136,"제품 전체,일반","포리프 #고래거치대,17,27",밖에 나올때에도 유용한  포리프 고래거치대 ㅋㅋ,2
137,137,"본품,품질","젤패드,15,18",땠다 붙었다가 가능한 젤패드 라 굳 ,2
138,138,"본품,일반","향기,1,3",향기 까지 나는 거치대라 더 좋고마잉 ,2
139,139,"제품 전체,품질","베개,8,10",처음에는 높은 베개 사용으로 낮은 거에 대한 느낌적인 부분으로 이상하게 느껴졌는데 일 잘 견디니깐 이젠 익숙해지고  확실히 아침이 조금 더 개운함이 있네요,2
140,140,"제품 전체,일반","None,0,0",조만간 아들 두 녀석도 같이 ㅋㅋ 장만해줘야겠어요,2
141,141,"제품 전체,일반","대디베이비,19,24",태어나서부터 참 잘 사용중인 대디베이비 ,2
142,142,"제품 전체,디자인","None,0,0",넘 예뿌다,2
143,143,"제품 전체,가격","None,0,0",가성비 좋아서 쓰고 있는데 자주 갈아줘도 부담없고  아이도 활동하는데 무리없고,2
144,144,"제품 전체,품질","None,0,0",실험을 해서 봐도 아주  흡수도 잘 되고 뽀송해 ,2
145,145,"제품 전체,품질","None,0,0",보송하고 아이피부도 지켜주공,2
146,146,"제품 전체,일반","None,0,0",참 잘 쓰는 것 같네유 ㅋㅋ,2
147,147,"본품,품질","바디미스트,20,25", 피부 진정에 도움이 된다는 바디미스트 챙겨요,2
148,148,"본품,일반","레몬그라스 향,31,38",더군다나 여름철 야외 활동할 때 모기기피제로 많이 쓰는 레몬그라스 향이 있어 야외활동 속 피부를 보호해주는 일리윤 의 바디미스트추천 신상제품,2
149,149,"제품 전체,일반","컴포트레스트아웃도어미스트,30,43",캠핑이나 등산 요즘 많이들 다니는 여행시에 좋은 컴포트레스트아웃도어미스트  ,2
150,150,"본품,품질","None,0,0",팔 다리에 필요한 부위에 골고루 뿌려주면 흡수도 빠르고 산뜻하게 마무리 되더라고요  ,2
151,151,"제품 전체,품질","None,0,0",먹을 수 있는 원료로 사용한만큼 걱정없이 사용해볼 수 있겠어유,2
152,152,"본품,편의성","거품형,0,3",거품형이라 편하기 까지 함 ㅋㅋ,2
153,153,"본품,품질","한샘샘키즈프리미엄 실리콘 코팅,1,17",한샘샘키즈프리미엄 실리콘 코팅이라 더 안심되고 열 라서 뛰어도 크게 아래집에 민폐가 되지 않는 거 같아요,2
154,154,"제품 전체,일반","None,0,0",주 넘게 사용해보고 있는데  만족해요 ,2
155,155,"제품 전체,디자인","None,0,0",이뿌다,2
156,156,"제품 전체,디자인","None,0,0",그나저나 예쁘기도 하네,2
157,157,"제품 전체,디자인","소르베베시그니처,5,13",이번에 소르베베시그니처 이뿌더라,2
158,158,"제품 전체,인지도","소르베베,1,5",소르베베 편안해서 요즘 인기 많던데 프리미엄시그니처는 디자인도 예쁨하네,2
159,159,"제품 전체,디자인","아기띠,0,3",아기띠 한다고 지못미 스타일 되지 않게 멋스럽게 착용할 수 있는 아기띠,2
160,160,"제품 전체,일반","None,0,0",맘에드네,2
161,161,"본품,디자인","코코아 브라운,31,38",제트블루 컬러가 우리한테 어울릴 것 같았는데 친구가 코코아 브라운 착용한거보니 괜찮더라구요,2
162,162,"제품 전체,일반","프리미엄,21,25",여러모로 스타일링 까지 신경쓴 이번 프리미엄,2
163,163,"본품,편의성","None,0,0",편안하기만 한게 아니니 더 좋구만 ,2
164,164,"제품 전체,인지도","뮤라,21,23",국민방수요 이름을 가지고 있는 뮤라 ,2
165,165,"본품,일반","재질,0,2",재질도 좋고 세탁기 빨래도 건조도 가능하니깐 넘나 좋음  ,2
166,166,"제품 전체,품질","여름기저귀 #대디베이비,12,24",그래도 우리 둘째는 여름기저귀 대디베이비 팡팡 갈아주며 뽀송뽀송하게 유지하고 있어요,2
167,167,"제품 전체,일반","팬티기저귀,81,86",밤기저귀 아기기저귀 손색없을 정도로 잘 사용하고 팬티라 활동이 좋으니깐 막 뛰어 놀아도 벗겨지지 않고 스스로 막 벗으려고 들어도 팬티기저귀 라서 좋은데,2
168,168,"본품,편의성","None,0,0",뱃살도 제법 되는데 자국없이 편안하게 잘 입네요,2
169,169,"제품 전체,품질","베노플러스겔,27,33",그래서 진통이나 소염 부기방지에 도움이 된다는 베노플러스겔 을 챙겨서 다니는 편이에요,2
170,170,"제품 전체,품질","None,0,0",혈종용해 작용까지 해줘서 일시적인 완화작용뿐 아니라 피부에 흡수되어서 부기나 울혈도 제거해줘 운동을 많이 하고 몸을 많이 사용하는 분들은 필수로 챙겨서 다니면 좋을 것 같아요 ㅋㅋ,2
171,171,"제품 전체,품질","None,0,0",그럴 때 바르면 진통 소염과 부기에도 도움이 되니 챙겨두는 게 좋겠어요,2
172,172,"제품 전체,편의성","올인원아기띠,27,33",이젠 신생아아기띠 벗어나나 싶지만 요즘은 올인원아기띠 로 아기띠 부터 힙시트 까지도 모두 한번에 해결이 되죠,2
173,173,"브랜드,가격","토드비,15,18",가성비 좋고 실용성 좋은 토드비 착용하는데 스타일도 색상도 예쁘고 재질도 부드러워서 만족만족,2
174,174,"제품 전체,품질","통기성,0,3",통기성 좋고 가볍고 샘방지도 잘되어있는 중파워흡수 ,2
175,175,"제품 전체,품질","100% 미국산 #천연코튼,0,14", 미국산 천연코튼 함유로 부드럽고 자극적이지 않네여,2
176,176,"본품,편의성","None,0,0",편안하니깐 이번 여름 잘 써보자,2
177,177,"패키지/구성품,편의성","사이즈,5,8",컴팩트한 사이즈에 예쁜 스타일링,2
178,178,"제품 전체,편의성","사이즈,5,8",앙증맞은 사이즈지만 이거 완전 레알 잘찍힌다,2
179,179,"본품,품질","None,0,0",햇빛에도 눈부심에도 손쉽게 촬영할 수 있는 너,2
180,180,"제품 전체,디자인","None,0,0",예쁘기만 한게 아니라 기능도 퍼펙 ㅋㅋ,2
181,181,"본품,품질","0.05초 AF,18,26", 에 세상에서 가장 빠른 초  라,2
182,182,"제품 전체,인지도","None,0,0",진짜 핫하지 않나싶네여 ㅋㅋ,2
183,183,"본품,일반","텍스쳐,29,32",그래서 매일매일 지친눈가를 섬세하게 케어해주고 리치한텍스쳐가 촉촉하고 촘촘한 탄력을 안겨주는 트리아 애프터 라이트 리뉴 아이크림 바르고 있어요,2
184,184,"본품,품질","None,0,0",조금 더 섬세하고 특별한날의 아이 관리가 필요할 땐 눈가 구조에 적합하게 디자인된 부드러운 패치가 특징인 리뉴 아이마스크로 지친눈가에 휴식을 주고 세라마이드와  성분으로 보습과 함께 탄력을 주고 있네요,2
185,185,"제품 전체,일반","None,0,0",정말 요즘 없어서는 안될 내 화장대의 필수템들,2
186,186,"제품 전체,일반","아이관리 트리아 비포 앤 애프터 리뉴 라인,0,23",아이관리 트리아 비포 앤 애프터 리뉴 라인 써보세요,2
187,187,"본품,품질","천연비누,3,7",역시 천연비누라 순하고 성분중에 달팽이점액이 들어가 트러블을 완화시켜주는듯,2
188,188,"패키지/구성품,편의성","작은사이즈의 #스틱비누,4,16",그리고 작은사이즈의 스틱비누 휴대하며 사용중인데 가지고 다니며 사용하니 아이들 손씻길때도 좋고 손씻고 땡기지 않아서 좋네요,2
189,189,"제품 전체,가격","None,0,0",가격도 저렴하니 굿,2
190,190,"본품,품질","효모에센스,0,5",효모에센스라 매일매일 내 피부를 탄탄하고 생기있게 책임져주는중,2
191,191,"본품,일반","대용량,0,3",대용량이라 아낌없이 발라주기,2
192,192,"제품 전체,일반","생리대,17,20",친구가 추천해줘서 구매한 착한생리대,2
193,193,"제품 전체,품질","오드리선,16,20",매직데이에 통증 많은데 오드리선 쓰고 많이 좋아진듯,2
194,194,"제품 전체,일반","None,0,0",약국에서도 추천하고 판매하는거라 믿고 쓰는중,2
195,195,"제품 전체,일반","None,0,0",요거요거 괜찮네용,2
196,196,"본품,품질","천연 아로마오일,11,19",스트레스 많은 요즘 천연 아로마오일이 함유된 입솜 메이창 유칼리투스 미스트로 아로마테라피도 하고 피부의 건조함도 잡아요,2
197,197,"본품,품질","입솜미스트,36,41",좋은성분으로 만들어 아이들과 함께 사용할수 있어 더 좋은 순한 입솜미스트 좋으다,2
198,198,"제품 전체,일반","블랙샷,21,24",부분미백이 아니라 전신미백이 가능해서 블랙샷 하나면 미백준비끝,2
199,199,"본품,품질","None,0,0",거기다 탄력까지 잡아주니 석조,2
200,200,"본품,품질","너리싱샴푸,1,6",너리싱샴푸  천연보태니컬 영양성분이 두피와 모발을 깨끗이하고 윤기와 부드러움을 더해주네요,2
201,201,"본품,품질","다양한 고농축 약초와 허브추출물,0,17",다양한 고농축 약초와 허브추출물 함유로 수분공급 보습은 물론 모근강화 비듬각질케어까지,2
202,202,"본품,품질","샴푸,20,22",약산성이라 유수분의 균형을 맞춰주는 샴푸랍니다,2
203,203,"본품,품질","None,0,0",두제품 모두 유해성분은 배제한 저자극 포뮬라라 안심하고 사용중이에요,2
204,204,"본품,품질","None,0,0",매트한 느낌인데 바르면 촉촉하면서도 뽀송해요,2
205,205,"본품,품질","None,0,0",밀착력도 좋고지속력도 맘에 들어요,2
206,206,"본품,일반","4가지 컬러,5,11",무엇보다 가지 컬러 모두 취저라는거,2
207,207,"제품 전체,일반","가을 립스틱,26,32",그날 그날 기분에 따라 다르게 표현하기 좋아서 가을 립스틱으로 강추해요,2
208,208,"패키지/구성품,일반","퍼프,0,2",퍼프부터 특별한 압솔뤼쿠션,2
209,209,"본품,품질","150개 장미 꽃잎 앰플,0,13",개 장미 꽃잎 앰플로 커버력과 지속력은 기본 피부광채까지,2
210,210,"제품 전체,일반","랑콤 압솔뤼쿠션,6,14",나를 홀린 랑콤 압솔뤼쿠션,2
211,211,"본품,품질","None,0,0",고농축이라 적게 사용해도 세척력 ,2
212,212,"본품,일반","베이비파우더향,4,11",은은한 베이비파우더향으로 기분까지 좋아지는 유아세제,2
213,213,"패키지/구성품,디자인","None,0,0",예뻐서 선물하기에도 좋다,2
214,214,"제품 전체,일반","니심 #뉴패스트샴푸,18,28",민감한 내 두피를 위한 내샴푸 니심 뉴패스트샴푸,2
215,215,"본품,품질","None,0,0",역시 소문대로 두피와 모발 보호는 물론 영양과 수분 공급까지,2
216,216,"본품,품질","None,0,0",푸석하고 스타일 안사는 모발에 딱인듯,2
217,217,"본품,품질","None,0,0",정말 순하고 수분감 가득 촉촉해서 좋다,2
